session_date,session_source,session_medium,campaign_name,landing_page,country,device_category,operating_system,browser,sessions,new_users,bounce_rate,avg_session_duration_sec,page_views,conversions,total_revenue,extraction_date,data_source
20240712,(direct),email,brand_awareness,/products/gunbot-config,Spain,desktop,Linux,Edge,109,37,0.3403,91.93,394,4,984.26,2026-07-04T05:01:00.675026,google_analytics_4
20240713,direct,cpc,(not set),/pages/about,United States,tablet,Android,Safari,73,28,0.8416,141.27,241,1,221.58,2026-07-04T05:01:00.675026,google_analytics_4
20240713,bing,social,retargeting_q4,/products/btc-indicator,United States,tablet,Linux,Edge,35,25,0.7953,242.18,99,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240714,email,organic,(not set),/pages/about,United Kingdom,tablet,Android,Safari,7,3,0.4143,78.35,20,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240714,(direct),cpc,summer_promo,/collections/all,United Kingdom,desktop,Android,Chrome,15,7,0.5534,397.92,38,1,153.51,2026-07-04T05:01:00.675026,google_analytics_4
20240714,email,cpc,summer_promo,/,Germany,desktop,macOS,Chrome,9,3,0.8209,299.92,14,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240714,google,referral,retargeting_q4,/pages/about,Brazil,tablet,Linux,Firefox,10,6,0.6589,173.39,34,1,250.03,2026-07-04T05:01:00.675026,google_analytics_4
20240714,(direct),referral,black_friday,/pages/about,Spain,tablet,Linux,Firefox,17,10,0.8436,375.59,50,1,197.8,2026-07-04T05:01:00.675026,google_analytics_4
20240714,(direct),organic,black_friday,/products/btc-indicator,Canada,desktop,macOS,Firefox,13,5,0.8299,202.37,23,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240715,facebook,cpc,retargeting_q4,/pages/about,Spain,desktop,Linux,Edge,144,58,0.3654,379.77,178,6,203.1,2026-07-04T05:01:00.675026,google_analytics_4
20240716,(direct),organic,summer_promo,/pages/about,Germany,desktop,iOS,Chrome,10,4,0.3154,311.34,40,1,200.7,2026-07-04T05:01:00.675026,google_analytics_4
20240716,facebook,(none),brand_awareness,/products/gunbot-config,Mexico,tablet,Linux,Edge,13,6,0.5899,169.44,49,1,153.91,2026-07-04T05:01:00.675026,google_analytics_4
20240716,bing,social,(not set),/products/gunbot-config,United States,mobile,iOS,Edge,30,13,0.383,98.54,95,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240716,instagram,(none),summer_promo,/products/gunbot-config,Spain,tablet,Android,Safari,15,8,0.7288,306.54,48,1,222.33,2026-07-04T05:01:00.675026,google_analytics_4
20240716,google,email,summer_promo,/collections/all,Germany,desktop,Windows,Safari,21,9,0.8489,211.6,56,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240716,bing,social,summer_promo,/products/btc-indicator,United Kingdom,tablet,Linux,Firefox,5,1,0.5415,363.97,14,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240717,direct,referral,(not set),/products/btc-indicator,Spain,desktop,Android,Firefox,15,6,0.6083,152.38,36,1,136.99,2026-07-04T05:01:00.675026,google_analytics_4
20240717,google,organic,(not set),/products/gunbot-config,Brazil,tablet,Android,Chrome,78,44,0.6748,152.37,264,3,811.71,2026-07-04T05:01:00.675026,google_analytics_4
20240717,google,(none),summer_promo,/pages/about,Brazil,mobile,Windows,Safari,21,8,0.7878,265.96,64,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240717,email,cpc,brand_awareness,/,United Kingdom,desktop,Android,Edge,19,10,0.5481,413.09,37,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240717,(direct),organic,summer_promo,/,United Kingdom,tablet,Android,Chrome,75,23,0.8305,290.8,88,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240718,direct,referral,(not set),/pages/about,Spain,mobile,Android,Safari,28,9,0.544,255.78,58,1,224.55,2026-07-04T05:01:00.675026,google_analytics_4
20240718,facebook,cpc,black_friday,/,Canada,mobile,iOS,Firefox,48,18,0.6719,203.73,124,3,545.03,2026-07-04T05:01:00.675026,google_analytics_4
20240718,email,referral,retargeting_q4,/collections/all,Mexico,tablet,Linux,Edge,136,98,0.564,307.6,143,1,284.65,2026-07-04T05:01:00.675026,google_analytics_4
20240718,instagram,referral,brand_awareness,/pages/about,Brazil,desktop,Android,Chrome,44,19,0.788,352.23,154,1,280.37,2026-07-04T05:01:00.675026,google_analytics_4
20240719,google,referral,(not set),/,Germany,desktop,Android,Edge,8,5,0.7457,349.89,29,1,284.38,2026-07-04T05:01:00.675026,google_analytics_4
20240719,facebook,cpc,brand_awareness,/products/btc-indicator,United Kingdom,tablet,iOS,Safari,32,11,0.8028,348.97,113,2,479.58,2026-07-04T05:01:00.675026,google_analytics_4
20240719,facebook,email,summer_promo,/products/btc-indicator,Canada,mobile,Windows,Firefox,22,12,0.7258,338.16,37,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240719,(direct),email,(not set),/products/gunbot-config,Brazil,mobile,iOS,Chrome,39,17,0.653,351.02,105,2,356.65,2026-07-04T05:01:00.675026,google_analytics_4
20240719,google,cpc,brand_awareness,/products/gunbot-config,Canada,mobile,iOS,Chrome,93,62,0.4686,377.25,344,1,39.98,2026-07-04T05:01:00.675026,google_analytics_4
20240719,email,organic,(not set),/,Spain,tablet,Windows,Chrome,26,17,0.3689,249.18,95,2,91.77,2026-07-04T05:01:00.675026,google_analytics_4
20240720,(direct),email,retargeting_q4,/collections/all,United Kingdom,desktop,Android,Edge,84,36,0.6612,89.35,148,1,171.24,2026-07-04T05:01:00.675026,google_analytics_4
20240720,bing,referral,retargeting_q4,/,United Kingdom,desktop,macOS,Firefox,78,44,0.5403,399.78,191,6,1463.71,2026-07-04T05:01:00.675026,google_analytics_4
20240720,email,cpc,summer_promo,/pages/about,Spain,mobile,macOS,Edge,10,5,0.4447,275.83,20,1,117.65,2026-07-04T05:01:00.675026,google_analytics_4
20240721,instagram,referral,retargeting_q4,/products/gunbot-config,United Kingdom,tablet,Linux,Safari,116,86,0.6015,189.86,302,9,739.87,2026-07-04T05:01:00.675026,google_analytics_4
20240721,direct,email,(not set),/products/gunbot-config,Canada,mobile,Android,Chrome,143,72,0.4816,310.29,196,6,1346.95,2026-07-04T05:01:00.675026,google_analytics_4
20240721,google,social,brand_awareness,/products/btc-indicator,United Kingdom,tablet,iOS,Firefox,35,20,0.8157,215.76,105,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240721,email,email,(not set),/pages/about,United States,mobile,iOS,Safari,156,92,0.4802,137.04,543,2,355.81,2026-07-04T05:01:00.675026,google_analytics_4
20240722,bing,email,summer_promo,/pages/about,Germany,desktop,Linux,Firefox,7,4,0.8001,279.53,23,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240722,instagram,social,retargeting_q4,/products/gunbot-config,United Kingdom,mobile,Android,Firefox,8,3,0.6859,146.5,15,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240722,email,cpc,brand_awareness,/products/btc-indicator,Germany,mobile,Linux,Safari,18,7,0.3037,348.07,45,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240723,direct,social,black_friday,/products/gunbot-config,United States,desktop,Windows,Chrome,25,10,0.7726,214.57,30,2,101.55,2026-07-04T05:01:00.675026,google_analytics_4
20240723,(direct),social,(not set),/,United Kingdom,mobile,iOS,Safari,49,29,0.7452,242.52,57,3,422.06,2026-07-04T05:01:00.675026,google_analytics_4
20240723,email,(none),brand_awareness,/products/gunbot-config,Germany,tablet,Android,Safari,35,18,0.3523,106.09,123,1,281.57,2026-07-04T05:01:00.675026,google_analytics_4
20240724,instagram,(none),retargeting_q4,/products/gunbot-config,Mexico,mobile,Linux,Safari,22,7,0.5256,264.61,23,1,225.27,2026-07-04T05:01:00.675026,google_analytics_4
20240724,facebook,social,black_friday,/products/btc-indicator,United States,tablet,Windows,Edge,58,34,0.3138,80.3,195,1,199.56,2026-07-04T05:01:00.675026,google_analytics_4
20240724,email,(none),summer_promo,/,United States,tablet,Windows,Firefox,13,7,0.8073,374.77,28,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240724,(direct),cpc,summer_promo,/pages/about,Germany,tablet,Linux,Safari,52,18,0.39,283.27,186,4,578.3,2026-07-04T05:01:00.675026,google_analytics_4
20240724,instagram,social,summer_promo,/,Canada,mobile,Android,Chrome,27,18,0.3062,147.04,36,1,284.52,2026-07-04T05:01:00.675026,google_analytics_4
20240725,bing,referral,summer_promo,/products/btc-indicator,Spain,mobile,iOS,Safari,135,44,0.8011,94.32,136,8,754.51,2026-07-04T05:01:00.675026,google_analytics_4
20240725,facebook,cpc,brand_awareness,/products/gunbot-config,Germany,desktop,Linux,Firefox,99,45,0.3738,326.3,364,5,338.26,2026-07-04T05:01:00.675026,google_analytics_4
20240726,bing,email,(not set),/collections/all,Germany,tablet,Android,Chrome,10,5,0.3105,355.14,39,1,216.08,2026-07-04T05:01:00.675026,google_analytics_4
20240726,direct,(none),retargeting_q4,/collections/all,United Kingdom,desktop,Windows,Firefox,9,3,0.823,48.76,14,1,118.43,2026-07-04T05:01:00.675026,google_analytics_4
20240726,instagram,organic,retargeting_q4,/products/gunbot-config,Germany,desktop,Android,Safari,14,6,0.7722,276.37,52,1,94.76,2026-07-04T05:01:00.675026,google_analytics_4
20240726,direct,social,black_friday,/,Brazil,tablet,iOS,Safari,15,11,0.7112,248.0,22,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240726,google,(none),(not set),/,Brazil,desktop,Linux,Safari,14,6,0.484,161.22,29,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240727,instagram,social,summer_promo,/products/gunbot-config,Mexico,tablet,iOS,Edge,7,3,0.6819,327.26,18,1,93.78,2026-07-04T05:01:00.675026,google_analytics_4
20240727,(direct),email,retargeting_q4,/,Brazil,tablet,Android,Chrome,39,27,0.6689,255.84,105,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240727,(direct),organic,brand_awareness,/pages/about,Germany,mobile,Windows,Chrome,24,10,0.7738,133.17,30,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240727,email,referral,black_friday,/collections/all,United Kingdom,desktop,iOS,Safari,40,27,0.3427,310.91,42,1,288.95,2026-07-04T05:01:00.675026,google_analytics_4
20240727,bing,social,black_friday,/products/btc-indicator,United States,tablet,macOS,Chrome,27,17,0.4767,192.45,67,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240728,(direct),email,retargeting_q4,/collections/all,Mexico,tablet,macOS,Chrome,34,20,0.3286,93.02,130,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240728,bing,cpc,(not set),/products/btc-indicator,Mexico,desktop,Android,Safari,77,24,0.7221,252.47,252,3,662.47,2026-07-04T05:01:00.675026,google_analytics_4
20240728,(direct),organic,summer_promo,/,Spain,desktop,iOS,Firefox,60,32,0.7267,82.77,172,4,1130.29,2026-07-04T05:01:00.675026,google_analytics_4
20240729,(direct),cpc,brand_awareness,/pages/about,Canada,tablet,iOS,Safari,14,8,0.8179,297.69,22,1,115.91,2026-07-04T05:01:00.675026,google_analytics_4
20240729,facebook,social,brand_awareness,/products/gunbot-config,United Kingdom,mobile,Android,Safari,11,6,0.4104,90.0,30,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240729,direct,cpc,brand_awareness,/,Mexico,mobile,iOS,Edge,16,6,0.6206,244.81,59,1,274.73,2026-07-04T05:01:00.675026,google_analytics_4
20240729,instagram,organic,summer_promo,/products/gunbot-config,Germany,desktop,macOS,Edge,11,3,0.3302,383.73,43,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240730,google,referral,(not set),/collections/all,United States,desktop,Windows,Firefox,9,6,0.4296,228.16,10,1,217.17,2026-07-04T05:01:00.675026,google_analytics_4
20240730,instagram,social,retargeting_q4,/collections/all,Spain,desktop,iOS,Edge,14,9,0.7691,67.77,40,1,254.4,2026-07-04T05:01:00.675026,google_analytics_4
20240731,google,email,summer_promo,/collections/all,Germany,tablet,Windows,Firefox,123,91,0.8449,365.32,351,8,2134.36,2026-07-04T05:01:00.675026,google_analytics_4
20240731,google,(none),brand_awareness,/products/gunbot-config,Canada,tablet,iOS,Firefox,140,66,0.5214,303.44,480,1,85.2,2026-07-04T05:01:00.675026,google_analytics_4
20240731,email,(none),retargeting_q4,/products/gunbot-config,Mexico,tablet,Linux,Safari,135,84,0.8169,53.67,413,5,1095.62,2026-07-04T05:01:00.675026,google_analytics_4
20240801,email,cpc,black_friday,/products/btc-indicator,Canada,tablet,iOS,Firefox,16,7,0.5765,226.64,42,1,161.18,2026-07-04T05:01:00.675026,google_analytics_4
20240801,(direct),cpc,(not set),/collections/all,Brazil,tablet,Linux,Chrome,21,14,0.5504,365.04,76,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240801,direct,organic,(not set),/products/gunbot-config,Spain,desktop,Windows,Safari,7,3,0.7563,57.66,17,1,187.75,2026-07-04T05:01:00.675026,google_analytics_4
20240801,direct,(none),black_friday,/,Mexico,mobile,Linux,Chrome,33,20,0.6899,121.37,132,2,111.45,2026-07-04T05:01:00.675026,google_analytics_4
20240801,(direct),social,brand_awareness,/products/gunbot-config,United States,mobile,macOS,Firefox,42,14,0.5971,355.64,106,2,365.53,2026-07-04T05:01:00.675026,google_analytics_4
20240801,email,referral,summer_promo,/collections/all,Germany,mobile,Android,Firefox,33,21,0.7265,360.4,50,1,72.84,2026-07-04T05:01:00.675026,google_analytics_4
20240802,google,organic,retargeting_q4,/pages/about,Brazil,mobile,Android,Chrome,19,10,0.318,155.33,46,1,52.32,2026-07-04T05:01:00.675026,google_analytics_4
20240802,google,referral,(not set),/pages/about,Brazil,tablet,Android,Firefox,106,48,0.7367,226.35,199,4,924.69,2026-07-04T05:01:00.675026,google_analytics_4
20240802,google,cpc,retargeting_q4,/pages/about,Mexico,tablet,iOS,Edge,75,51,0.7766,59.93,175,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240802,direct,cpc,summer_promo,/products/btc-indicator,United States,tablet,Linux,Edge,112,58,0.6159,57.98,148,5,1065.47,2026-07-04T05:01:00.675026,google_analytics_4
20240802,facebook,social,black_friday,/,United Kingdom,tablet,Windows,Chrome,39,15,0.5225,266.2,95,3,359.9,2026-07-04T05:01:00.675026,google_analytics_4
20240802,bing,(none),black_friday,/collections/all,Spain,mobile,Windows,Firefox,114,44,0.5127,69.08,299,6,495.69,2026-07-04T05:01:00.675026,google_analytics_4
20240803,facebook,(none),black_friday,/,Brazil,tablet,Linux,Chrome,16,5,0.3695,340.65,20,1,216.33,2026-07-04T05:01:00.675026,google_analytics_4
20240803,(direct),organic,retargeting_q4,/pages/about,United States,tablet,Windows,Firefox,75,44,0.8414,382.63,169,6,1493.57,2026-07-04T05:01:00.675026,google_analytics_4
20240803,(direct),cpc,(not set),/products/gunbot-config,Canada,desktop,macOS,Firefox,58,41,0.3262,379.73,80,2,510.25,2026-07-04T05:01:00.675026,google_analytics_4
20240803,google,cpc,brand_awareness,/products/gunbot-config,United States,mobile,Linux,Safari,85,39,0.4474,264.88,102,6,389.89,2026-07-04T05:01:00.675026,google_analytics_4
20240804,facebook,social,(not set),/,Mexico,desktop,Linux,Firefox,67,26,0.813,286.58,76,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240804,facebook,(none),retargeting_q4,/products/btc-indicator,Canada,desktop,Windows,Safari,64,26,0.8366,258.7,151,5,174.47,2026-07-04T05:01:00.675026,google_analytics_4
20240804,instagram,organic,summer_promo,/,United Kingdom,mobile,Android,Edge,104,66,0.3726,331.29,366,7,1179.31,2026-07-04T05:01:00.675026,google_analytics_4
20240805,bing,organic,(not set),/collections/all,United States,mobile,iOS,Edge,6,3,0.7335,85.27,18,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240805,bing,email,retargeting_q4,/products/btc-indicator,Canada,tablet,Linux,Chrome,20,9,0.3081,346.3,44,1,70.5,2026-07-04T05:01:00.675026,google_analytics_4
20240806,facebook,referral,summer_promo,/pages/about,Canada,tablet,Android,Edge,10,4,0.6626,200.56,37,1,198.09,2026-07-04T05:01:00.675026,google_analytics_4
20240807,(direct),(none),black_friday,/products/gunbot-config,Canada,tablet,Android,Firefox,7,4,0.5515,65.64,15,1,177.43,2026-07-04T05:01:00.675026,google_analytics_4
20240807,facebook,referral,black_friday,/,Canada,tablet,iOS,Edge,13,6,0.4268,59.23,39,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240808,google,organic,retargeting_q4,/products/gunbot-config,United States,desktop,Windows,Chrome,29,10,0.739,241.31,56,2,83.74,2026-07-04T05:01:00.675026,google_analytics_4
20240808,(direct),cpc,black_friday,/collections/all,Canada,tablet,Windows,Chrome,76,28,0.63,219.49,169,3,356.92,2026-07-04T05:01:00.675026,google_analytics_4
20240808,facebook,email,(not set),/pages/about,United Kingdom,desktop,Linux,Edge,115,59,0.4333,356.86,312,6,1090.59,2026-07-04T05:01:00.675026,google_analytics_4
20240808,direct,social,summer_promo,/products/gunbot-config,Mexico,tablet,Windows,Safari,74,34,0.6983,138.3,87,5,362.41,2026-07-04T05:01:00.675026,google_analytics_4
20240808,facebook,email,summer_promo,/pages/about,Brazil,tablet,Android,Chrome,93,54,0.5973,205.94,273,5,1198.08,2026-07-04T05:01:00.675026,google_analytics_4
20240809,google,(none),brand_awareness,/pages/about,Brazil,mobile,iOS,Edge,26,12,0.4253,51.23,52,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240810,google,cpc,summer_promo,/pages/about,Mexico,tablet,macOS,Safari,48,26,0.6876,170.67,86,3,297.31,2026-07-04T05:01:00.675026,google_analytics_4
20240810,(direct),social,retargeting_q4,/,Spain,tablet,iOS,Edge,59,29,0.6307,289.64,202,1,221.74,2026-07-04T05:01:00.675026,google_analytics_4
20240810,google,social,(not set),/products/btc-indicator,Germany,desktop,Windows,Chrome,50,16,0.6103,347.51,162,2,526.61,2026-07-04T05:01:00.675026,google_analytics_4
20240811,google,cpc,summer_promo,/collections/all,Germany,desktop,iOS,Safari,27,9,0.6931,401.08,33,2,583.79,2026-07-04T05:01:00.675026,google_analytics_4
20240811,email,social,(not set),/collections/all,United States,desktop,Windows,Firefox,10,5,0.3361,275.81,18,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240811,instagram,organic,summer_promo,/,Germany,mobile,Android,Chrome,19,8,0.6828,314.31,23,0,0.0,2026-07-04T05:01:00.675026,google_analytics_4
20240812,instagram,cpc,retargeting_q4,/collections/all,Brazil,mobile,Android,Firefox,35,24,0.5109,368.01,133,1,36.65,2026-07-04T05:01:00.675026,google_analytics_4
20240813,direct,email,(not set),/products/btc-indicator,United States,mobile,Android,Safari,104,52,0.6591,62.96,186,4,383.22,2026-07-04T05:01:00.675026,google_analytics_4
20240813,facebook,organic,black_friday,/products/btc-indicator,United Kingdom,desktop,Android,Safari,134,71,0.7368,206.32,474,1,149.73,2026-07-04T05:01:00.675026,google_analytics_4
20240813,direct,cpc,retargeting_q4,/pages/about,United Kingdom,mobile,Linux,Chrome,79,27,0.4048,51.52,311,6,1372.35,2026-07-04T05:01:00.675026,google_analytics_4
20240814,email,email,brand_awareness,/pages/about,United States,mobile,macOS,Chrome,16,7,0.3073,157.4,59,1,121.35,2026-07-04T05:01:00.675026,google_analytics_4
