event_id,started_at,ended_at,scheduled_to_end,budget,currency,event_type,source,channel,utm_source,utm_medium,utm_campaign,paid_budget_percent_used,impressions,clicks,click_through_rate,spend,conversions_attributed,attributed_revenue,roas,extraction_date
mkt_000014,2024-07-07T00:00:00Z,2024-07-10T00:00:00Z,2024-07-29T00:00:00Z,317.93,MXN,influencer,google,email,google,email,new_year_promo,99.1,5378,334,6.2105,315.06,6,1421.47,4.5117,2026-07-04T05:01:03.099173
mkt_000015,2024-07-07T00:00:00Z,2024-07-19T00:00:00Z,2024-08-01T00:00:00Z,396.86,EUR,ad,mailchimp,search,mailchimp,display,summer_sale,47.7,11632,1259,10.8236,189.32,20,1711.04,9.0378,2026-07-04T05:01:03.099173
mkt_000016,2024-07-09T00:00:00Z,2024-07-11T00:00:00Z,2024-07-19T00:00:00Z,305.9,MXN,organic,google,search,google,organic,new_year_promo,60.45,9335,941,10.0803,184.92,46,5134.44,27.7657,2026-07-04T05:01:03.099173
mkt_000017,2024-07-09T00:00:00Z,2024-07-19T00:00:00Z,2024-07-17T00:00:00Z,197.9,EUR,post,bing,sms,bing,display,brand_awareness,52.01,7166,817,11.4011,102.92,34,5177.07,50.3019,2026-07-04T05:01:03.099173
mkt_000018,2024-07-10T00:00:00Z,2024-07-19T00:00:00Z,2024-07-18T00:00:00Z,103.45,MXN,retargeting,instagram,direct,instagram,email,abandoned_cart_recovery,67.74,518,28,5.4054,70.08,1,31.3,0.4466,2026-07-04T05:01:03.099173
mkt_000019,2024-07-10T00:00:00Z,2024-07-15T00:00:00Z,2024-08-05T00:00:00Z,406.3,USD,message,mailchimp,sms,mailchimp,social,brand_awareness,70.01,8424,443,5.2588,284.44,11,364.61,1.2819,2026-07-04T05:01:03.099173
mkt_000020,2024-07-12T00:00:00Z,2024-07-13T00:00:00Z,2024-08-06T00:00:00Z,373.12,MXN,organic,google,sms,google,organic,crypto_traders_jan,68.97,11344,1302,11.4774,257.35,44,8997.68,34.9628,2026-07-04T05:01:03.099173
mkt_000021,2024-07-12T00:00:00Z,2024-07-23T00:00:00Z,2024-08-05T00:00:00Z,463.22,EUR,influencer,twitter,direct,twitter,organic,brand_awareness,85.29,10536,908,8.6181,395.09,44,5202.91,13.1689,2026-07-04T05:01:03.099173
mkt_000022,2024-07-12T00:00:00Z,2024-07-13T00:00:00Z,2024-07-27T00:00:00Z,356.39,EUR,retargeting,twitter,direct,twitter,display,crypto_traders_jan,46.94,5930,471,7.9427,167.28,16,3940.92,23.5588,2026-07-04T05:01:03.099173
mkt_000023,2024-07-12T00:00:00Z,2024-07-14T00:00:00Z,2024-08-04T00:00:00Z,256.58,MXN,post,instagram,email,instagram,referral,summer_sale,74.73,9805,397,4.049,191.73,9,2597.64,13.5484,2026-07-04T05:01:03.099173
mkt_000024,2024-07-13T00:00:00Z,2024-07-14T00:00:00Z,2024-07-31T00:00:00Z,299.18,USD,organic,google,referral,google,social,black_friday,98.52,10070,1019,10.1192,294.75,13,3415.69,11.5884,2026-07-04T05:01:03.099173
mkt_000025,2024-07-13T00:00:00Z,2024-07-18T00:00:00Z,2024-08-10T00:00:00Z,172.82,EUR,influencer,facebook,social,facebook,organic,summer_sale,58.5,13029,1521,11.674,101.1,56,6258.19,61.901,2026-07-04T05:01:03.099173
mkt_000026,2024-07-13T00:00:00Z,2024-07-26T00:00:00Z,2024-07-25T00:00:00Z,43.9,USD,influencer,google,display,google,display,abandoned_cart_recovery,98.41,2728,315,11.5469,43.2,10,1609.22,37.2505,2026-07-04T05:01:03.099173
mkt_000027,2024-07-14T00:00:00Z,2024-07-19T00:00:00Z,2024-07-23T00:00:00Z,484.11,USD,influencer,tiktok,sms,tiktok,cpc,crypto_traders_jan,79.9,6246,723,11.5754,386.79,20,4404.28,11.3867,2026-07-04T05:01:03.099173
mkt_000028,2024-07-14T00:00:00Z,2024-07-23T00:00:00Z,2024-07-25T00:00:00Z,427.26,MXN,message,facebook,direct,facebook,social,summer_sale,57.92,9089,750,8.2517,247.47,23,6558.47,26.5021,2026-07-04T05:01:03.099173
mkt_000029,2024-07-14T00:00:00Z,2024-07-17T00:00:00Z,2024-07-28T00:00:00Z,196.05,MXN,message,bing,email,bing,social,summer_sale,51.03,5057,430,8.5031,100.04,8,1812.47,18.1175,2026-07-04T05:01:03.099173
mkt_000030,2024-07-14T00:00:00Z,2024-07-26T00:00:00Z,2024-08-02T00:00:00Z,93.94,MXN,organic,mailchimp,search,mailchimp,organic,black_friday,57.75,11218,1107,9.8681,54.25,48,13493.59,248.7298,2026-07-04T05:01:03.099173
mkt_000031,2024-07-15T00:00:00Z,2024-07-27T00:00:00Z,2024-08-09T00:00:00Z,43.27,EUR,message,instagram,sms,instagram,display,abandoned_cart_recovery,60.67,3895,10,0.2567,26.25,1,39.96,1.5223,2026-07-04T05:01:03.099173
mkt_000032,2024-07-15T00:00:00Z,2024-07-20T00:00:00Z,2024-08-10T00:00:00Z,79.12,EUR,message,mailchimp,email,mailchimp,social,new_year_promo,78.16,4182,121,2.8934,61.84,6,1161.44,18.7814,2026-07-04T05:01:03.099173
mkt_000033,2024-07-15T00:00:00Z,2024-07-23T00:00:00Z,2024-07-29T00:00:00Z,173.43,MXN,message,bing,display,bing,referral,summer_sale,45.26,2782,124,4.4572,78.5,1,272.89,3.4763,2026-07-04T05:01:03.099173
mkt_000034,2024-07-15T00:00:00Z,2024-07-19T00:00:00Z,2024-07-30T00:00:00Z,82.45,EUR,organic,bing,email,bing,cpc,summer_sale,91.93,6324,167,2.6407,75.8,4,930.69,12.2782,2026-07-04T05:01:03.099173
mkt_000035,2024-07-16T00:00:00Z,2024-07-27T00:00:00Z,2024-07-26T00:00:00Z,434.9,EUR,ad,bing,email,bing,cpc,q4_retarget,55.29,7321,50,0.683,240.47,2,374.65,1.558,2026-07-04T05:01:03.099173
mkt_000036,2024-07-16T00:00:00Z,2024-07-23T00:00:00Z,2024-07-23T00:00:00Z,423.57,USD,message,tiktok,direct,tiktok,referral,q4_retarget,81.98,638,17,2.6646,347.26,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000037,2024-07-16T00:00:00Z,2024-07-17T00:00:00Z,2024-08-12T00:00:00Z,401.11,EUR,message,facebook,direct,facebook,display,abandoned_cart_recovery,99.11,4296,174,4.0503,397.54,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000038,2024-07-16T00:00:00Z,2024-07-22T00:00:00Z,2024-08-06T00:00:00Z,177.94,MXN,retargeting,instagram,sms,instagram,email,summer_sale,69.58,5827,664,11.3952,123.81,25,7017.93,56.6831,2026-07-04T05:01:03.099173
mkt_000039,2024-07-16T00:00:00Z,2024-07-22T00:00:00Z,2024-07-26T00:00:00Z,150.46,MXN,post,twitter,social,twitter,organic,abandoned_cart_recovery,77.72,9065,508,5.604,116.93,1,126.67,1.0833,2026-07-04T05:01:03.099173
mkt_000040,2024-07-17T00:00:00Z,2024-07-28T00:00:00Z,2024-07-24T00:00:00Z,51.39,MXN,organic,facebook,social,facebook,organic,summer_sale,93.36,12212,736,6.0269,47.98,5,1206.31,25.1419,2026-07-04T05:01:03.099173
mkt_000041,2024-07-19T00:00:00Z,2024-07-22T00:00:00Z,2024-08-09T00:00:00Z,62.58,MXN,post,mailchimp,direct,mailchimp,referral,brand_awareness,48.39,10872,195,1.7936,30.28,5,752.22,24.8421,2026-07-04T05:01:03.099173
mkt_000042,2024-07-19T00:00:00Z,2024-08-02T00:00:00Z,2024-07-29T00:00:00Z,186.18,EUR,post,mailchimp,social,mailchimp,cpc,abandoned_cart_recovery,69.62,8350,463,5.5449,129.61,11,2437.27,18.8046,2026-07-04T05:01:03.099173
mkt_000043,2024-07-20T00:00:00Z,2024-08-01T00:00:00Z,2024-08-08T00:00:00Z,102.89,EUR,organic,tiktok,search,tiktok,social,abandoned_cart_recovery,97.07,3038,149,4.9045,99.88,1,264.92,2.6524,2026-07-04T05:01:03.099173
mkt_000044,2024-07-20T00:00:00Z,2024-07-23T00:00:00Z,2024-08-11T00:00:00Z,51.28,MXN,organic,tiktok,sms,tiktok,social,new_year_promo,42.28,3733,350,9.3758,21.68,6,1424.21,65.6923,2026-07-04T05:01:03.099173
mkt_000045,2024-07-21T00:00:00Z,2024-08-01T00:00:00Z,2024-08-02T00:00:00Z,163.41,USD,retargeting,mailchimp,referral,mailchimp,social,crypto_traders_jan,66.46,9517,247,2.5954,108.6,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000046,2024-07-22T00:00:00Z,2024-08-02T00:00:00Z,2024-08-04T00:00:00Z,407.49,MXN,ad,bing,email,bing,email,summer_sale,51.42,9414,891,9.4646,209.52,37,2579.81,12.313,2026-07-04T05:01:03.099173
mkt_000047,2024-07-22T00:00:00Z,2024-07-28T00:00:00Z,2024-08-08T00:00:00Z,426.67,MXN,message,bing,search,bing,organic,brand_awareness,75.97,2586,307,11.8716,324.16,3,473.79,1.4616,2026-07-04T05:01:03.099173
mkt_000048,2024-07-23T00:00:00Z,2024-08-04T00:00:00Z,2024-08-21T00:00:00Z,254.29,EUR,message,twitter,referral,twitter,referral,new_year_promo,70.9,3791,208,5.4867,180.28,4,819.48,4.5456,2026-07-04T05:01:03.099173
mkt_000049,2024-07-23T00:00:00Z,2024-07-30T00:00:00Z,2024-08-01T00:00:00Z,146.93,MXN,influencer,twitter,direct,twitter,cpc,black_friday,84.05,9522,832,8.7377,123.5,23,4610.82,37.3346,2026-07-04T05:01:03.099173
mkt_000050,2024-07-24T00:00:00Z,2024-08-05T00:00:00Z,2024-08-23T00:00:00Z,38.35,MXN,organic,bing,email,bing,display,summer_sale,77.11,9729,220,2.2613,29.57,5,289.98,9.8066,2026-07-04T05:01:03.099173
mkt_000051,2024-07-24T00:00:00Z,2024-08-02T00:00:00Z,2024-08-09T00:00:00Z,314.01,USD,post,bing,social,bing,organic,crypto_traders_jan,40.07,12941,1049,8.106,125.81,2,519.94,4.1327,2026-07-04T05:01:03.099173
mkt_000052,2024-07-24T00:00:00Z,2024-07-26T00:00:00Z,2024-08-05T00:00:00Z,444.89,USD,influencer,google,search,google,organic,q4_retarget,93.47,2175,236,10.8506,415.85,1,258.94,0.6227,2026-07-04T05:01:03.099173
mkt_000053,2024-07-24T00:00:00Z,2024-07-30T00:00:00Z,2024-08-20T00:00:00Z,366.8,USD,message,bing,direct,bing,social,q4_retarget,92.55,397,33,8.3123,339.48,1,38.11,0.1123,2026-07-04T05:01:03.099173
mkt_000054,2024-07-25T00:00:00Z,2024-07-30T00:00:00Z,2024-08-07T00:00:00Z,231.08,USD,ad,tiktok,social,tiktok,email,abandoned_cart_recovery,80.45,5377,179,3.329,185.91,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000055,2024-07-26T00:00:00Z,2024-07-30T00:00:00Z,2024-08-05T00:00:00Z,40.78,MXN,influencer,bing,display,bing,cpc,summer_sale,51.79,4572,338,7.3928,21.12,4,708.97,33.5687,2026-07-04T05:01:03.099173
mkt_000056,2024-07-26T00:00:00Z,2024-07-31T00:00:00Z,2024-08-06T00:00:00Z,213.85,MXN,organic,facebook,social,facebook,social,black_friday,52.2,7296,769,10.54,111.64,28,6350.45,56.8833,2026-07-04T05:01:03.099173
mkt_000057,2024-07-28T00:00:00Z,2024-08-11T00:00:00Z,2024-08-22T00:00:00Z,486.13,USD,influencer,tiktok,search,tiktok,cpc,brand_awareness,46.43,5407,317,5.8628,225.71,6,1179.05,5.2237,2026-07-04T05:01:03.099173
mkt_000058,2024-07-28T00:00:00Z,2024-08-08T00:00:00Z,2024-08-13T00:00:00Z,158.6,USD,influencer,instagram,sms,instagram,email,black_friday,40.96,570,19,3.3333,64.96,1,143.75,2.2129,2026-07-04T05:01:03.099173
mkt_000059,2024-07-28T00:00:00Z,2024-07-30T00:00:00Z,2024-08-09T00:00:00Z,419.09,USD,ad,facebook,sms,facebook,referral,new_year_promo,65.4,8701,784,9.0105,274.09,1,70.34,0.2566,2026-07-04T05:01:03.099173
mkt_000060,2024-07-28T00:00:00Z,2024-08-06T00:00:00Z,2024-08-18T00:00:00Z,292.67,USD,organic,bing,social,bing,cpc,q4_retarget,75.16,13036,1130,8.6683,219.98,50,1807.56,8.2169,2026-07-04T05:01:03.099173
mkt_000061,2024-07-28T00:00:00Z,2024-08-04T00:00:00Z,2024-08-22T00:00:00Z,69.94,USD,organic,instagram,sms,instagram,display,new_year_promo,72.48,6333,532,8.4004,50.69,15,1083.5,21.375,2026-07-04T05:01:03.099173
mkt_000062,2024-07-29T00:00:00Z,2024-08-12T00:00:00Z,2024-08-27T00:00:00Z,414.09,MXN,influencer,google,direct,google,social,crypto_traders_jan,58.44,2586,204,7.8886,242.01,1,138.9,0.5739,2026-07-04T05:01:03.099173
mkt_000063,2024-07-29T00:00:00Z,2024-07-30T00:00:00Z,2024-08-21T00:00:00Z,32.29,EUR,post,mailchimp,display,mailchimp,cpc,q4_retarget,61.26,10047,165,1.6423,19.78,2,452.98,22.9009,2026-07-04T05:01:03.099173
mkt_000064,2024-07-29T00:00:00Z,2024-07-30T00:00:00Z,2024-08-23T00:00:00Z,72.74,MXN,message,instagram,direct,instagram,display,q4_retarget,83.17,1789,46,2.5713,60.5,2,149.01,2.463,2026-07-04T05:01:03.099173
mkt_000065,2024-07-30T00:00:00Z,2024-08-03T00:00:00Z,2024-08-29T00:00:00Z,164.39,USD,ad,tiktok,social,tiktok,display,brand_awareness,73.67,2214,47,2.1229,121.11,1,119.95,0.9904,2026-07-04T05:01:03.099173
mkt_000066,2024-07-31T00:00:00Z,2024-08-01T00:00:00Z,2024-08-17T00:00:00Z,241.94,MXN,retargeting,facebook,direct,facebook,display,crypto_traders_jan,58.11,236,10,4.2373,140.6,1,246.14,1.7506,2026-07-04T05:01:03.099173
mkt_000067,2024-08-02T00:00:00Z,2024-08-11T00:00:00Z,2024-08-31T00:00:00Z,24.46,MXN,retargeting,tiktok,sms,tiktok,social,black_friday,99.84,6817,110,1.6136,24.42,3,811.69,33.2387,2026-07-04T05:01:03.099173
mkt_000068,2024-08-02T00:00:00Z,2024-08-03T00:00:00Z,2024-08-25T00:00:00Z,399.63,USD,influencer,instagram,display,instagram,display,crypto_traders_jan,75.54,9239,1100,11.9061,301.89,53,12713.91,42.1144,2026-07-04T05:01:03.099173
mkt_000069,2024-08-02T00:00:00Z,2024-08-07T00:00:00Z,2024-08-15T00:00:00Z,388.62,USD,post,tiktok,direct,tiktok,display,q4_retarget,59.74,14410,749,5.1978,232.18,13,1238.27,5.3332,2026-07-04T05:01:03.099173
mkt_000070,2024-08-02T00:00:00Z,2024-08-15T00:00:00Z,2024-08-14T00:00:00Z,112.79,MXN,retargeting,google,email,google,email,new_year_promo,47.06,7676,149,1.9411,53.08,7,984.55,18.5484,2026-07-04T05:01:03.099173
mkt_000071,2024-08-02T00:00:00Z,2024-08-14T00:00:00Z,2024-08-30T00:00:00Z,61.75,MXN,retargeting,instagram,direct,instagram,cpc,brand_awareness,63.32,12963,1088,8.3931,39.1,47,2792.85,71.4284,2026-07-04T05:01:03.099173
mkt_000072,2024-08-03T00:00:00Z,2024-08-09T00:00:00Z,2024-08-22T00:00:00Z,325.82,EUR,ad,mailchimp,social,mailchimp,social,abandoned_cart_recovery,80.58,11409,235,2.0598,262.55,6,425.69,1.6214,2026-07-04T05:01:03.099173
mkt_000073,2024-08-03T00:00:00Z,2024-08-13T00:00:00Z,2024-08-19T00:00:00Z,295.63,USD,retargeting,bing,social,bing,display,new_year_promo,46.56,2851,109,3.8232,137.64,4,904.41,6.5708,2026-07-04T05:01:03.099173
mkt_000074,2024-08-04T00:00:00Z,2024-08-14T00:00:00Z,2024-08-17T00:00:00Z,273.72,MXN,ad,instagram,email,instagram,organic,q4_retarget,70.46,13845,1181,8.5302,192.85,34,7100.71,36.8199,2026-07-04T05:01:03.099173
mkt_000075,2024-08-04T00:00:00Z,2024-08-05T00:00:00Z,2024-08-21T00:00:00Z,408.0,MXN,ad,twitter,search,twitter,organic,black_friday,80.53,7223,220,3.0458,328.58,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000076,2024-08-04T00:00:00Z,2024-08-06T00:00:00Z,2024-08-20T00:00:00Z,386.77,EUR,influencer,facebook,display,facebook,display,summer_sale,68.15,11430,1165,10.1925,263.6,54,2222.54,8.4315,2026-07-04T05:01:03.099173
mkt_000077,2024-08-04T00:00:00Z,2024-08-17T00:00:00Z,2024-08-27T00:00:00Z,146.48,USD,organic,twitter,referral,twitter,organic,new_year_promo,85.04,2298,186,8.094,124.56,9,2495.53,20.0348,2026-07-04T05:01:03.099173
mkt_000078,2024-08-05T00:00:00Z,2024-08-15T00:00:00Z,2024-08-22T00:00:00Z,115.6,MXN,ad,mailchimp,email,mailchimp,display,summer_sale,96.22,9688,599,6.1829,111.23,21,1631.39,14.6668,2026-07-04T05:01:03.099173
mkt_000079,2024-08-05T00:00:00Z,2024-08-13T00:00:00Z,2024-08-22T00:00:00Z,164.69,EUR,organic,facebook,direct,facebook,social,abandoned_cart_recovery,45.04,636,12,1.8868,74.18,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000080,2024-08-05T00:00:00Z,2024-08-17T00:00:00Z,2024-08-21T00:00:00Z,340.71,MXN,organic,twitter,email,twitter,referral,q4_retarget,75.35,4190,472,11.2649,256.71,15,4245.25,16.5371,2026-07-04T05:01:03.099173
mkt_000081,2024-08-05T00:00:00Z,2024-08-16T00:00:00Z,2024-09-02T00:00:00Z,262.26,EUR,organic,tiktok,email,tiktok,organic,q4_retarget,42.24,8511,27,0.3172,110.78,1,101.17,0.9133,2026-07-04T05:01:03.099173
mkt_000082,2024-08-06T00:00:00Z,2024-08-15T00:00:00Z,2024-08-19T00:00:00Z,499.78,USD,post,google,social,google,email,summer_sale,82.27,13734,250,1.8203,411.17,8,1970.31,4.792,2026-07-04T05:01:03.099173
mkt_000083,2024-08-07T00:00:00Z,2024-08-19T00:00:00Z,2024-09-02T00:00:00Z,298.0,USD,influencer,instagram,direct,instagram,display,new_year_promo,90.02,10870,1033,9.5032,268.27,11,3099.52,11.5537,2026-07-04T05:01:03.099173
mkt_000084,2024-08-07T00:00:00Z,2024-08-13T00:00:00Z,2024-08-22T00:00:00Z,64.99,USD,influencer,bing,email,bing,referral,q4_retarget,68.35,9989,708,7.0878,44.42,32,3773.99,84.9615,2026-07-04T05:01:03.099173
mkt_000085,2024-08-07T00:00:00Z,2024-08-21T00:00:00Z,2024-08-16T00:00:00Z,218.62,USD,message,bing,search,bing,display,q4_retarget,50.64,7695,594,7.7193,110.7,25,1221.36,11.0331,2026-07-04T05:01:03.099173
mkt_000086,2024-08-09T00:00:00Z,2024-08-23T00:00:00Z,2024-08-30T00:00:00Z,241.74,USD,ad,facebook,email,facebook,organic,summer_sale,63.25,14723,489,3.3213,152.89,12,2962.23,19.3749,2026-07-04T05:01:03.099173
mkt_000087,2024-08-10T00:00:00Z,2024-08-13T00:00:00Z,2024-08-18T00:00:00Z,69.53,USD,retargeting,twitter,social,twitter,email,summer_sale,91.41,11652,338,2.9008,63.56,10,2507.8,39.4556,2026-07-04T05:01:03.099173
mkt_000088,2024-08-10T00:00:00Z,2024-08-16T00:00:00Z,2024-09-08T00:00:00Z,47.4,EUR,influencer,bing,email,bing,organic,summer_sale,72.91,7968,109,1.368,34.56,4,1154.13,33.395,2026-07-04T05:01:03.099173
mkt_000089,2024-08-11T00:00:00Z,2024-08-17T00:00:00Z,2024-09-01T00:00:00Z,110.33,EUR,influencer,instagram,social,instagram,social,black_friday,65.49,4025,13,0.323,72.25,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000090,2024-08-11T00:00:00Z,2024-08-13T00:00:00Z,2024-08-20T00:00:00Z,173.32,MXN,retargeting,instagram,display,instagram,display,abandoned_cart_recovery,54.29,1193,21,1.7603,94.09,1,114.87,1.2209,2026-07-04T05:01:03.099173
mkt_000091,2024-08-12T00:00:00Z,2024-08-16T00:00:00Z,2024-09-10T00:00:00Z,493.12,USD,influencer,bing,direct,bing,social,q4_retarget,70.72,5299,154,2.9062,348.75,3,880.65,2.5252,2026-07-04T05:01:03.099173
mkt_000092,2024-08-12T00:00:00Z,2024-08-26T00:00:00Z,2024-09-03T00:00:00Z,176.87,MXN,influencer,instagram,search,instagram,referral,black_friday,61.26,13330,1077,8.0795,108.35,15,1747.28,16.1263,2026-07-04T05:01:03.099173
mkt_000093,2024-08-12T00:00:00Z,2024-08-17T00:00:00Z,2024-09-02T00:00:00Z,303.08,USD,organic,bing,display,bing,cpc,crypto_traders_jan,67.85,11682,1095,9.3734,205.65,20,5192.91,25.2512,2026-07-04T05:01:03.099173
mkt_000094,2024-08-12T00:00:00Z,2024-08-22T00:00:00Z,2024-08-25T00:00:00Z,178.12,USD,message,tiktok,social,tiktok,email,black_friday,67.9,1482,70,4.7233,120.94,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000095,2024-08-12T00:00:00Z,2024-08-16T00:00:00Z,2024-08-22T00:00:00Z,450.31,USD,ad,tiktok,referral,tiktok,organic,brand_awareness,75.33,12582,1310,10.4117,339.21,33,3873.56,11.4194,2026-07-04T05:01:03.099173
mkt_000096,2024-08-14T00:00:00Z,2024-08-23T00:00:00Z,2024-09-11T00:00:00Z,37.45,MXN,influencer,bing,referral,bing,referral,brand_awareness,67.64,4471,223,4.9877,25.33,1,111.78,4.4129,2026-07-04T05:01:03.099173
mkt_000097,2024-08-15T00:00:00Z,2024-08-27T00:00:00Z,2024-08-31T00:00:00Z,66.82,EUR,message,instagram,direct,instagram,social,black_friday,74.75,1891,185,9.7832,49.95,5,400.25,8.013,2026-07-04T05:01:03.099173
mkt_000098,2024-08-15T00:00:00Z,2024-08-26T00:00:00Z,2024-09-07T00:00:00Z,348.32,MXN,influencer,bing,referral,bing,organic,q4_retarget,66.4,3572,400,11.1982,231.29,3,240.66,1.0405,2026-07-04T05:01:03.099173
mkt_000099,2024-08-15T00:00:00Z,2024-08-22T00:00:00Z,2024-08-31T00:00:00Z,257.23,MXN,post,tiktok,email,tiktok,email,abandoned_cart_recovery,67.86,10444,900,8.6174,174.55,4,340.97,1.9534,2026-07-04T05:01:03.099173
mkt_000100,2024-08-16T00:00:00Z,2024-08-27T00:00:00Z,2024-09-08T00:00:00Z,275.84,EUR,organic,instagram,email,instagram,referral,q4_retarget,65.19,2250,90,4.0,179.81,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000101,2024-08-16T00:00:00Z,2024-08-22T00:00:00Z,2024-09-11T00:00:00Z,277.14,MXN,message,bing,sms,bing,social,new_year_promo,99.76,1889,33,1.747,276.47,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000102,2024-08-16T00:00:00Z,2024-08-17T00:00:00Z,2024-09-05T00:00:00Z,429.63,USD,retargeting,facebook,sms,facebook,referral,new_year_promo,61.38,602,39,6.4784,263.7,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000103,2024-08-16T00:00:00Z,2024-08-29T00:00:00Z,2024-09-07T00:00:00Z,310.54,EUR,message,google,social,google,cpc,brand_awareness,63.33,2910,98,3.3677,196.68,0,0.0,0.0,2026-07-04T05:01:03.099173
mkt_000104,2024-08-17T00:00:00Z,2024-08-24T00:00:00Z,2024-09-15T00:00:00Z,71.35,USD,organic,facebook,social,facebook,cpc,new_year_promo,60.32,5418,465,8.5825,43.04,19,5497.56,127.7314,2026-07-04T05:01:03.099173
mkt_000105,2024-08-17T00:00:00Z,2024-08-29T00:00:00Z,2024-09-12T00:00:00Z,286.15,MXN,influencer,twitter,social,twitter,organic,new_year_promo,69.32,8127,93,1.1443,198.36,3,530.28,2.6733,2026-07-04T05:01:03.099173
mkt_000106,2024-08-19T00:00:00Z,2024-08-30T00:00:00Z,2024-09-18T00:00:00Z,498.98,EUR,retargeting,twitter,sms,twitter,social,new_year_promo,52.26,4301,429,9.9744,260.75,14,1828.24,7.0115,2026-07-04T05:01:03.099173
mkt_000107,2024-08-19T00:00:00Z,2024-09-01T00:00:00Z,2024-09-05T00:00:00Z,307.88,USD,ad,twitter,display,twitter,social,q4_retarget,61.24,2458,240,9.764,188.54,6,1227.96,6.513,2026-07-04T05:01:03.099173
